ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
SUTM,Sunrays Textile Mills Ltd,Compliant,37.44%,0.59%,0.26%,65.20%,(179.48),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SWL,Standard Worldwide td (Standard Insurance Company Ltd),Compliant,0.00%,0.00%,0.00%,97.77%,(56.72),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SYM,Symmetry Group Limited,Compliant,8.89%,2.70%,0.71%,56.08%,2.02,14.78,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SYS,Systems Limited,Compliant,8.50%,1.70%,0.09%,29.93%,88.55,170.88,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
SZTM,Shahzad textile Mills Ltd,Compliant,18.03%,2.43%,0.19%,76.25%,(83.97),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TATM,TATA Textile Mills Ltd,Compliant,27.00%,19.35%,1.84%,66.67%,(228.45),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TBL,Treet Battery Limited,Compliant,43.15%,0.00%,0.85%,82.16%,(6.48),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TCORP,Tariq Corporation Ltd,Compliant,5.47%,0.00%,0.01%,67.07%,(28.96),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
TELE,Telecard Limited,Compliant,10.31%,0.64%,0.45%,18.90%,9.53,11.33,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant by exception — non-compliant investment/income ratio exceeds the threshold due to circular debt. Provisional dividend purification rate (subject to final adjustment).
TGL,Tariq Glass Industries Ltd,Compliant,2.75%,0.70%,0.27%,72.04%,21.71,213.31,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
THALL,Thal Limited,Compliant,6.60%,59.48%,2.65%,29.00%,486.05,541.96,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
THCCL,Thatta Cement Company,Compliant,6.81%,0.00%,1.87%,31.49%,39.26,84.18,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TICL,Thal Industries Corp,Compliant,2.08%,5.04%,0.33%,61.07%,35.16,578.04,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
TOMCL,The Organic Meat Company,Compliant,4.57%,0.00%,0.12%,54.65%,13.92,50.74,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TOWL,Towellers Limited,Compliant,0.61%,0.00%,0.07%,71.85%,1.72,172.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TPL,TPL Corporation,Compliant,51.72%,4.90%,27.42%,51.66%,(39.76),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TPLP,TPL Properties Ltd,Compliant,25.98%,0.00%,5.97%,71.96%,(3.86),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TPLRF1,TPL REIT Fund 1,Compliant,0.00%,0.00%,2.12%,78.88%,1.74,10.41,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TPLT,TPL Trakker Ltd,Compliant,38.41%,2.18%,0.34%,72.37%,(14.08),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TREET,Treet Corporation Ltd,Compliant,34.64%,0.27%,0.17%,70.32%,(24.47),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TRG,TRG Pakistan Ltd,Compliant,2.58%,99.94%,100.00%,0.00%,76.39,72.86,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TRIPF,Tri-Pack Films Ltd,Compliant,40.83%,0.67%,0.07%,74.82%,(522.20),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
TSML,Tandlianwala Sugar Mills Ltd,Compliant,46.62%,0.00%,0.01%,69.16%,144.50,192.09,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Based on September 2025 accounts.
TSPL,Tri-Star Power Ltd,Compliant,0.00%,41.48%,12.22%,7.01%,10.72,14.76,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
UBDL,United Brands Limited,Compliant,0.00%,0.00%,0.16%,38.45%,(3.71),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
UDLI,UDL International Limited,Compliant,0.00%,2.34%,0.00%,87.55%,1.32,11.10,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
UDPL,United Distributors (Pakistan) Ltd,Compliant,0.40%,0.00%,1.27%,86.22%,(47.67),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
UNITY,Unity Foods Ltd,Compliant,36.76%,0.89%,0.79%,46.08%,(22.00),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,December 2025 accounts unavailable; September 2025 accounts used. Provisional dividend purification rate (subject to final adjustment).
UPFL,Unilever Pakistan Foods Ltd,Compliant,4.35%,0.00%,1.00%,73.67%,(1148.14),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
WAFI,Wafi Energy Pakistan Limited (SHELL PAKISTAN LIMITED),Compliant,9.51%,2.30%,0.28%,77.00%,(303.30),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
WAHDAT,Wahdat Poultry Farm Limited,Compliant,26.03%,0.00%,0.00%,72.63%,(5.44),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
WAHN,Wah-Noble Chemicals Ltd,Compliant,11.71%,0.00%,0.00%,47.54%,107.41,331.55,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
WAVES,Waves Corporation Limited,Compliant,29.57%,0.01%,0.00%,72.40%,(15.96),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
WTL,WorldCall Telecom Ltd,Compliant,44.20%,6.61%,0.88%,46.16%,(1.41),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
YOUW,Yousaf Weaving Mills Ltd,Compliant,43.97%,0.00%,0.00%,86.85%,(7.89),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ZAHID,Zahidjee Textile Mills Ltd,Compliant,15.32%,11.69%,1.04%,72.93%,(32.66),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ZAL,Zarea Limited,Compliant,0.99%,13.87%,2.07%,72.15%,2.89,47.59,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ZIL,ZIL Limited,Compliant,5.44%,0.00%,0.00%,83.75%,(225.54),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
ZTL,Zephyr Textiles Ltd.,Compliant,30.08%,0.13%,0.00%,77.13%,(43.99),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BFMOD,B.F. Modaraba,Compliant,,,,51.86%,11.50,23.39,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
BIPL,BankIslami Pakistan Ltd,Compliant,,,,83.92%,(539.12),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FABL,Faysal Bank Ltd,Compliant,,,,88.88%,(963.10),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FANM,First Al-Noor Modaraba,Compliant,,,,90.98%,0.30,8.91,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FECM,First Elite Capital Modaraba,Compliant,,,,88.71%,(6.30),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FEM,First Equity Modaraba,Compliant,,,,80.38%,1.41,11.18,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FFLM,First Fidelity Leasing Modaraba,Compliant,,,,96.95%,(0.64),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FHAM,First Habib Modaraba,Compliant,,,,91.17%,(268.34),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FIBLM,First IBL Modaraba,Compliant,,,,29.86%,7.60,10.23,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FIMM,First Imrooz Modaraba,Compliant,,,,60.31%,(52.21),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FNBM,First National Bank Modaraba,Compliant,,,,89.79%,(16.67),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FPJM,First Punjab Modaraba,Compliant,,,,58.86%,22.07,4.60,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,As per last available annual / half-yearly accounts. Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
FPRM,First Paramount Modaraba,Compliant,,,,34.85%,7.12,12.90,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
FTMM,First Treet Manufacturing Modaraba,Compliant,,,,22.72%,9.63,20.14,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
FTSM,First Tri-Star Modaraba,Compliant,,,,94.42%,(3.59),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
GEMBCEM,Burj Clean Energy Modaraba(GEM),Compliant,,,,23.79%,8.31,11.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
MEBL,Meezan Bank Ltd,Compliant,,,,89.75%,(2242.40),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
OLPM,OLP Modaraba (Orix Modaraba),Compliant,,,,88.61%,(138.25),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
ORM,Orient Rental Modaraba,Compliant,,,,64.01%,(3.26),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PAKQATAR,Pak Qatar Family Takaful Limited,Compliant,,,,91.32%,(263.09),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PIM,Popular Islamic Modaraba,Compliant,,,,78.21%,0.17,21.55,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PQGTL,Pak Qatar General Takaful Limited,Compliant,,,,47.25%,(2.18),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
SINDM,Sindh Modaraba,Compliant,,,,79.39%,8.17,35.62,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
TRSM,Trust Modaraba,Compliant,,,,91.01%,(0.29),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
WASL,Wasl Mobility Modaraba (First Prudential Modaraba ** ),Compliant,,,,81.98%,(1.51),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
786,786 Investments Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ABL,Allied Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AGIC,Askari General Insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AHL,Arif Habib Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AICL,Adamjee Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AKBL,Askari Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AKDSL,AKD Securituies Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ALAC,Askari Life Assurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ALIFE,Adamjee Life Assurance Company Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AMBL,Apna Microfinance Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AMSL,Al-Mal Sec. & Services Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ARPAK,Arpak International Investments Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ASIC,Asia Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ATIL,Atlas insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BAFL,Bank Alfalah Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BAHL,Bank Al Habib Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BIIC,Business & Industrial Insurance Company,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BML,Bank Makramah Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BOK,Bank of Khyber,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
BOP,Bank of Punjab,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
CENI,Century Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
CSIL,Crescent Star Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
DEL,Dawood Equities Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
EFUG,EFU General Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
EFUL,EFU Life Assurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ENGL,English Leasing Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ESBL,Escorts Investment Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
EWIC,East West Insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
FCIBL,First Credit & investment Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
FCSC,First Capital Securities Corp. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
FNEL,First National Equities Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
GRR,Globe Residency Reit,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
GRYL,Grays Leasing Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HBL,Habib Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HGFA,HBL Growth Fund - (A),Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HICL,Habib Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HIFA,HBL Investment Fund (A),Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HMB,Habib Metropolitan Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
HUMNL,Hum Network Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
ICIBL,Invest Capital Investment Bank,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
IGIHL,IGI Holdings Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
IGIL,IGI Life Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
IML,Imperial Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
IMS,Intermarket Securities Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
INMF,Investec Mutual Fund Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JGICL,Jubilee General insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JLICL,Jubilee Life Insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JSBL,JS Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JSCL,Jahangir Siddiqui & Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JSGCL,JS Global Capital Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JSRR,JS Rental REIT,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
JSIL,JS Investments Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
KHTC,Khyber Tobacco Company,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
LSEFSL,LSE Financial Service Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
LSEVL,LSE Ventures ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
MCB,MCB Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
MCBIM,MCB Investment Management Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
MDTL,Media Times Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
MUREB,Murree Brewery Company,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
NBP,National Bank of Pakistan,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
NEXT,Next Capital Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
OLPL,OLP Financial Services private Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PAKRI,Pakistan Reinsurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PAKT,Pakistan Tobacco Company Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PGLC,Pak- Gulf Leasing Company,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PICL,Pakistan Industrial & Commercial Leasing,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PIL,PICIC Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PINL,Premier Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PKGI,Pakistan General insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PRIB,Prudential Investment Bank,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PRIC,Progressive Insurance,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
PUDF,Prudential Stocks Fund Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
RICL,Reliance Insurance Co Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SBL,Samba Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SCBPL,Standard Chartered Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SHNI,Shaheen Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SIBL,Security Investment Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SLCL,Security Leasing Corporation Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SLL,SME Leasing Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SNBL,Soneri Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
SSIC,Silver Star Insurance Co.,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
TPLI,TPL Insurance Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
TPLL,TPL Life Insurance Limited,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
TRIBL,Trust Investment Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
TSBL,Trust Securities & Brokerage,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
TSMF,Tri-Star Mutual Fund,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
UBL,United Bank Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
UNIC,United Insurance Co. of Pakistan,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
UVIC,Universal Insurance Co. Ltd,Non-Compliant,,,,,,,NC by Nature,All-Share-Islamic-Index.pdf,Period ended December 2025,
AAL,Agro Allianz Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
ABSON,Abson Industries Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
ANNT,Annoor Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
APOT,Apollo Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
AZMT,Azmat Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
DKTM,Dewan Khalid Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
DMTM,Dewan Mushtaq Textile Mills,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
FAEL,Fatima Enterprises Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
FTHM,Fateh Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
HADC,Haydari Construction,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
HAJT,Hajra Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
HIRAT,Hira Textile Mills Ltd,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
HKKT,Hakkim Textile Mills Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
HSPI,Huffaz Seamless Pipe Ind,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
KAKL,Kaiser Arts & Krafts Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
MFTM,Mohd. Farooq Textile Mills,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
MOHE,Mohib Exports Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
NAFL,National Fibres Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
NINA,Nina Industries Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
NMFL,Nirala MSR Foods Limited,Compliant,,,,,,,Review Required,All-Share-Islamic-Index.pdf,Period ended December 2025,As no recent financial available therefore no shariah opinion is drawn
