ticker,company_name,objective_status,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets_ratio,share_price,final_shariah_status,source_document,source_period,notes
OML,Olympia Mills Ltd,Compliant,0.00%,0.00%,0.46%,90.26%,(29.55),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
OTSU,Otsuka Pakistan Ltd,Compliant,35.18%,12.98%,0.00%,67.09%,(71.06),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PABC,Pakistan Aluminium Beverages,Compliant,17.01%,52.84%,5.57%,37.42%,19.94,126.69,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PACE,Pace (Pakistan) Ltd,Compliant,50.69%,0.00%,8.12%,89.25%,(35.07),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PAEL,Pak Elektron Ltd,Compliant,20.88%,0.12%,0.03%,62.18%,(5.32),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PAKD,Pak DataCom Ltd,Compliant,6.24%,15.34%,1.95%,25.30%,77.75,160.25,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PAKL,Pak Leather Crafts Ltd,Compliant,487.43%,0.00%,0.00%,80.15%,(113.33),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PAKOXY,Pakistan Oxygen Limited,Compliant,8.31%,0.00%,0.00%,76.19%,(45.50),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PASL,Pervez Ahmed Consultancy Services Ltd,Compliant,102.51%,0.00%,0.00%,97.33%,(3.48),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PASM,Paramount Spinning Mills Ltd,Compliant,725.57%,13.13%,0.00%,11.17%,(33.53),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PCAL,Pakistan Cables Ltd,Compliant,45.74%,0.00%,0.13%,62.69%,(287.96),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PHDL,Pakistan Hotels Developers Ltd,Compliant,0.00%,0.00%,98.64%,0.02%,79.35,50.40,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PIAHCLA,PIA Holding Company Limited,Compliant,128.96%,0.00%,0.16%,82.41%,(170.00),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,As per last available annual / half-yearly accounts. Provisional dividend purification rate (subject to final adjustment).
PIBTL,Pakistan International Bulk Terminal Ltd,Compliant,11.88%,0.00%,0.27%,70.27%,(2.25),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PICT,Pakistan International Container Terminal,Compliant,0.00%,0.00%,0.00%,46.83%,(4.66),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PIOC,Pioneer Cement Ltd,Compliant,6.02%,6.85%,0.02%,89.92%,(141.44),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PKGP,Pakgen Power Ltd,Compliant,0.00%,81.97%,54.13%,15.43%,34.68,60.96,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PKGS,Packages Limited,Compliant,32.80%,3.03%,0.07%,79.65%,(1420.74),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PMRS,The Premier Sugar Mills Ltd,Compliant,35.84%,0.04%,0.00%,88.21%,(5649.80),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PNSC,Pakistan National Shipping Corporation,Compliant,0.04%,43.98%,7.74%,36.70%,310.79,498.99,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
POL,Pakistan Oilfields Ltd,Compliant,0.00%,18.40%,9.22%,24.60%,127.10,608.51,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
POML,Punjab Oil Mills Ltd,Compliant,16.81%,0.03%,0.39%,51.22%,(17.65),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
POWER,Power Cement Ltd,Compliant,2.60%,0.16%,0.00%,86.87%,(13.40),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PPL,Pakistan Petroleum Limited,Compliant,0.07%,7.67%,2.81%,26.12%,236.63,235.55,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Compliant with relaxation over the illiquid-assets / net-liquid-assets screen. Provisional dividend purification rate (subject to final adjustment).
PPP,Pakistan paper products Ltd,Compliant,7.95%,0.00%,0.00%,77.81%,2.76,141.51,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PPVC,Pakistan PVC Ltd,Compliant,60.23%,0.42%,0.12%,94.17%,(18.70),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PREMA,At-Tahur Limited,Compliant,4.28%,0.00%,0.00%,83.28%,(5.03),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PRET,Premium Textile Mills Ltd,Compliant,39.95%,0.15%,0.03%,77.00%,(2228.36),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PRL,Pakistan Refinery Ltd,Compliant,28.81%,1.90%,0.36%,48.38%,(51.82),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PRWM,Prosperity Weaving Mills Ltd,Compliant,44.51%,7.18%,0.06%,69.97%,(157.20),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PSEL,Pakistan Services Ltd,Compliant,10.50%,1.56%,1.24%,91.22%,(378.21),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,As per last available annual / half-yearly accounts.
PSO,Pakistan State Oil Co. Ltd,Compliant,25.16%,6.37%,0.37%,33.85%,(208.97),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PSX,Pakistan Stock Exchange Ltd,Compliant,0.00%,49.65%,40.39%,38.92%,7.33,46.98,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PSYL,Pakistan Synthetics Ltd,Compliant,2.21%,0.00%,0.58%,71.79%,(28.89),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
PTC,Pakistan Telecommunication Compnay Ltd,Compliant,48.85%,4.06%,2.01%,58.12%,(137.16),0.00,Non-Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
PTL,Panthar Tyres Limited,Compliant,32.84%,0.89%,0.14%,74.12%,(60.78),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
QTECH,Quantum Data Technologies Ltd (Chakwal Spinning Mills Ltd),Compliant,25.77%,0.00%,0.00%,96.97%,(8.73),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
QUET,Quetta Textile Mills Ltd,Compliant,23.95%,0.41%,2.27%,92.08%,(860.07),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
QUICE,Quice Food Industries Ltd,Compliant,0.00%,0.00%,0.00%,85.82%,(10.53),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
RCML,Reliance Cotton Spinning,Compliant,20.23%,7.49%,0.10%,75.44%,(704.81),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
REDCO,Redco Textiles Ltd,Compliant,0.00%,0.51%,0.04%,81.50%,(45.00),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
REWM,Reliance Weaving Mills,Compliant,31.40%,4.38%,0.18%,76.87%,(736.89),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
RMPL,Rafhan Maize Products,Compliant,1.44%,14.19%,1.07%,71.81%,(1443.07),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,
RPL,Roshan Packages Ltd,Compliant,4.94%,2.48%,0.22%,73.50%,(7.60),0.00,Compliant,All-Share-Islamic-Index.pdf,Period ended December 2025,Provisional dividend purification rate (subject to final adjustment).
